pin,map_block_lot,municode,calc_acreage,comments,notes,pseudono,shape_length,wkt
0026F00172000000,26-F-172,106,0.14,,,,343.484065538,POLYGON ((-79.95984671067387 40.45881689074898, -79.95997967806926 40.45876080720836, -79.96018420765279 40.45905104406323, -79.95999491097457 40.45912967287846, -79.95984671067387 40.45881689074898))
0027C00091000000,27-C-91,105,0.1,,,,273.860839583,POLYGON ((-79.95584427386292 40.45217988186287, -79.95595706744344 40.45206693452955, -79.9562200889093 40.45215309748996, -79.95618519358173 40.45221620989811, -79.95615035968821 40.45227929708937, -79.95584427386292 40.45217988186287))
0027M00246080500,27-M-246-805,104,0.01,,PBV 110 PG 74-85,,70.0000354018,POLYGON ((-79.94971835302107 40.44531639845138, -79.94978267462197 40.44531125355564, -79.94978903478344 40.44535766487739, -79.94972471312771 40.4453628094367, -79.94971835302107 40.44531639845138))
0029B00032000000,29-B-32,104,0.03,,,,159.758470877,POLYGON ((-79.96035461738052 40.4326923829806, -79.96033317612535 40.4326309835031, -79.96031206200612 40.43257052112828, -79.96030297571136 40.4325445001999, -79.96044834877904 40.43260401255803, -79.96036392186977 40.43271903136125, -79.96035461738052 40.4326923829806))
0052B00098040200,52-B-98-402,107,0.0,,PBV 103 PG 167-193,,47.9996780101,POLYGON ((-79.94247210763191 40.45262229006244, -79.94247902516361 40.45264360506804, -79.94242322143968 40.45265417289982, -79.94241630453254 40.45263285833279, -79.94247210763191 40.45262229006244))
0026L00291000000,26-L-291,105,0.14,,,,318.283971916,POLYGON ((-79.95700212884081 40.456751421027, -79.95716840930407 40.45664873274816, -79.95737522341778 40.45687222716774, -79.95720734451292 40.45697449146905, -79.95700212884081 40.456751421027))
0011L00059000000,11-L-59,104,0.03,,,,148.75654013,POLYGON ((-79.97223597328762 40.43800761999226, -79.9721738212701 40.43797181511754, -79.97228311171256 40.43785944485494, -79.97234957216085 40.43788058985461, -79.97223597328762 40.43800761999226))
0029H00169000000,29-H-169,104,0.06,,13-P-082,,256.691930164,POLYGON ((-79.95133473263093 40.42968238912753, -79.95159251595003 40.42947646682203, -79.95165663376989 40.42952393602936, -79.95139858133466 40.42972861145517, -79.95133473263093 40.42968238912753))
0027H00144004400,27-H-144-44,104,0.0,,PBV 132 PG 1-18,,59.9997807624,POLYGON ((-79.95123815636124 40.44874783972563, -79.95127071590305 40.44873623072765, -79.9513011071266 40.44878597934289, -79.95126854756602 40.44879758834934, -79.95123815636124 40.44874783972563))
0026K00054000000,26-K-54,106,0.04,,,,184.641636008,POLYGON ((-79.96086775562107 40.45695787552793, -79.96094436487989 40.45693734980423, -79.96101948650431 40.4571180991351, -79.96094114327703 40.45714069306432, -79.96086775562107 40.45695787552793))
0027L00260000000,27-L-260,104,0.16,,,,374.135155628,POLYGON ((-79.95673171927747 40.44665682773249, -79.9566699292008 40.44660741474205, -79.95702329495985 40.44635205316653, -79.95715140929244 40.44645404188287, -79.95679842771406 40.44671017278095, -79.95673171927747 40.44665682773249))
0029C00090000000,29-C-90,104,0.06,,,,272.341484013,POLYGON ((-79.95705292379125 40.43282819860883, -79.95706673110767 40.43276327060033, -79.95746049722646 40.43281508223716, -79.9574447778196 40.43288565169188, -79.95705292379125 40.43282819860883))
0029C00121000000,29-C-121,104,0.09,,,,375.503314226,POLYGON ((-79.95603434218279 40.43166224259445, -79.95604889337223 40.4315962689507, -79.95622943196113 40.43161929540127, -79.95662897044532 40.43167024455889, -79.95661419206303 40.43173473400963, -79.95603434218279 40.43166224259445))
0029C00015000000,29-C-15,104,0.02,,,,130.611170267,POLYGON ((-79.95719066133219 40.43119677091521, -79.95730698960696 40.43110505809526, -79.95735572898465 40.43114137726712, -79.95723907829827 40.43123241252035, -79.95719066133219 40.43119677091521))
0027H00160002500,27-H-160-25,104,0.0,,PBV 103 PG 24,,53.9997970689,POLYGON ((-79.9510950995212 40.44821276648011, -79.95114371166893 40.44819498667982, -79.95116233076686 40.44822469669117, -79.95111371802423 40.44824247696364, -79.9510950995212 40.44821276648011))
0052E00033004300,52-E-33-43,104,0.0,,,,54.1530365228,POLYGON ((-79.9485817618702 40.44852391716881, -79.94860699365171 40.4485755352438, -79.94858344029609 40.4485822759948, -79.94855819902718 40.44853063950483, -79.9485817618702 40.44852391716881))
0028E00041000000,28-E-41,104,0.02,,,,167.703281594,POLYGON ((-79.9622454627591 40.44010624662108, -79.96220730704481 40.44007601723433, -79.9623878702692 40.43994744152271, -79.96242529018848 40.43997711225418, -79.9622454627591 40.44010624662108))
0026F00172000000,26-F-172,106,0.14,,,,343.484065538,POLYGON ((-79.95984671067387 40.45881689074898, -79.95997967806926 40.45876080720836, -79.96018420765279 40.45905104406323, -79.95999491097457 40.45912967287846, -79.95984671067387 40.45881689074898))
0027C00091000000,27-C-91,105,0.1,,,,273.860839583,POLYGON ((-79.95584427386292 40.45217988186287, -79.95595706744344 40.45206693452955, -79.9562200889093 40.45215309748996, -79.95618519358173 40.45221620989811, -79.95615035968821 40.45227929708937, -79.95584427386292 40.45217988186287))
0027M00246080500,27-M-246-805,104,0.01,,PBV 110 PG 74-85,,70.0000354018,POLYGON ((-79.94971835302107 40.44531639845138, -79.94978267462197 40.44531125355564, -79.94978903478344 40.44535766487739, -79.94972471312771 40.4453628094367, -79.94971835302107 40.44531639845138))
