PARID,CHANGENOTICEADDRESS1
0011G00146000000,18 ALLEQUIPPA ST 
0011G00150000000,414 GRANT ST RM 200
0011G00153000000,200 ROSS ST FL 9
0011G00156000000,4182 WALDROP HILLS TER 
0011G00157000000,414 GRANT ST RM 200
0011G00158000000,414 GRANT ST RM 200
0011G00159000000,414 GRANT ST RM 200
0011G00160000000,7 BEELEN ST 
0011G00164000000,2315 MOHAWK ST 
0011G00165000000,414 GRANT ST RM 200
0011G00168000000,414 GRANT ST RM 200
0011G00300000000,200 ROSS ST FL 9
0011H00001000000,214 WHITRIDGE ST 
0011H00002000000,414 GRANT ST RM 200
0011H00004000000,414 GRANT ST RM 200
0011H00006000000,3101 TERRACE ST 
0011H00008000000,3103 TERRACE ST 
0011H00009000000,290 9TH AVE APT 13-B
0011H00010000000,3100 IOWA ST 
0011H00012000000,301 GROOMES CT 
0011H00013000000,4309 SUMMERVALE CT 
0011H00015000000,4309 SUMMERVALE CT 
0011H00016000000,4309 SUMMERVALE CT 
0011H00017000000,417 MCKEAN DR 
0011H00018000000,3121 TERRACE ST 
0011H00020000000,1700 SHADY KNOLL CT 
0011H00022000000,1700 SHADY KNOLL CT 
0011H00023000000,PO BOX 7438
0011H00024000000,3131 TERRACE ST 
0011H00025000000,3141 TERRACE ST 
0011H00028000000,3136 TERRACE ST 
0011H00030000000,1633 SETTLERS DR 
0011H00032000000,3132 TERRACE ST 
0011H00035000000,3124 TERRACE ST 
0011H00038000000,3114 TERRACE ST 
0011H00040000000,3108 TERRACE ST 
0011H00042000000,3108 TERRACE ST 
0011H00043000000,3104 TERRACE ST 
0011H00044000000,235 ATWOOD ST 
0011H00046000000,414 GRANT ST RM 200
0011H00062000000,235 ATWOOD ST 
0011H00065000000,235 ATWOOD ST 
0011H00066000000,235 ATWOOD ST 
0011H00068000000,123 BURROWS ST 
0011H00069000000,108 SANTA MARIA LN 
0011H00070000000,5276 HARLON CT 
0011H00125000000,200 ROSS ST FL 9
0011H00130000000,200 ROSS ST FL 9
0011H00175000000,200 ROSS ST FL 9
0011H00179000000,200 ROSS ST FL 9
0011H00180000000,200 ROSS ST FL 9
0011H00210000000,200 ROSS ST FL 9
0011H00215000000,200 ROSS ST FL 9
0011H00225000000,200 ROSS ST FL 9
